00:00:00:001			outrecovered			0.0196722
00:00:00:001			outrecovered			0.0198689
00:00:00:00232			outrecovered			0.0200676
00:00:00:0029			outrecovered			0.0202683
00:00:00:0023			outrecovered			0.020471
00:00:00:0023			outrecovered			0.0206757
00:00:00:002			outrecovered			0.0208825
00:00:00:002			outrecovered			0.0210913
00:00:00:002   		outrecovered			0.0213022
00:00:00:002			outrecovered			0.0215152
00:00:00:002			outrecovered			0.0217304
00:00:00:002			outrecovered			0.0219477
00:00:00:002			outrecovered			0.0221672
00:00:00:002			outrecovered			0.0223888
00:00:00:002			outrecovered			0.0226127
00:00:00:002			outrecovered			0.0228388
00:00:00:002			outrecovered			0.0230672
00:00:00:002   		outrecovered			0.0232979
00:00:00:002			outrecovered			0.0235309
00:00:00:002			outrecovered			0.0237662
00:00:00:002			outrecovered			0.0240038
00:00:00:002			outrecovered			0.0242439
00:00:00:002			outrecovered			0.0244863
00:00:00:002			outrecovered			0.0247312
00:00:00:002   		outrecovered			0.0249785
00:00:00:002			outrecovered			0.0252283
00:00:00:002			outrecovered			0.0254806
00:00:00:002			outrecovered			0.0257354
00:00:00:002			outrecovered			0.0259927
00:00:00:002			outrecovered			0.0262527
00:00:00:002			outrecovered			0.0265152
00:00:00:002			outrecovered			0.0267803
00:00:00:002			outrecovered			0.0270481
00:00:00:002			outrecovered			0.0273186
00:00:00:002			outrecovered			0.0275918
00:00:00:002			outrecovered			0.0278677
00:00:00:002   		outrecovered			0.0281464
00:00:00:002			outrecovered			0.0284279
00:00:00:002			outrecovered			0.0287121
00:00:00:002			outrecovered			0.0289993
00:00:00:002			outrecovered			0.0292893
00:00:00:002			outrecovered			0.0295821
00:00:00:002			outrecovered			0.029878
00:00:00:0031			outrecovered			0.0301768
00:00:00:0038			outrecovered			0.0304785
00:00:00:0034			outrecovered			0.0307833
00:00:00:003			outrecovered			0.0310911
00:00:00:003			outrecovered			0.031402
00:00:00:003			outrecovered			0.0317161
00:00:00:003			outrecovered			0.0320332
00:00:00:003			outrecovered			0.0323536
00:00:00:003   		outrecovered			0.0326771
00:00:00:003			outrecovered			0.0330039
00:00:00:003			outrecovered			0.0333339
00:00:00:003			outrecovered			0.0336672
00:00:00:003			outrecovered			0.0340039
00:00:00:003			outrecovered			0.034344
00:00:00:003   		outrecovered			0.0346874
00:00:00:003			outrecovered			0.0350343
00:00:00:003			outrecovered			0.0353846
00:00:00:003			outrecovered			0.0357385
00:00:00:003			outrecovered			0.0360958
00:00:00:003   		outrecovered			0.0364568
00:00:00:003			outrecovered			0.0368214
00:00:00:003			outrecovered			0.0371896
00:00:00:003			outrecovered			0.0375615
00:00:00:003   		outrecovered			0.0379371
00:00:00:003			outrecovered			0.0383165
00:00:00:003			outrecovered			0.0386996
00:00:00:003			outrecovered			0.0390866
00:00:00:003			outrecovered			0.0394775
00:00:00:003			outrecovered			0.0398723
00:00:00:0041			outrecovered			0.040271
00:00:00:0041			outrecovered			0.0406737
00:00:00:004			outrecovered			0.0410804
00:00:00:004			outrecovered			0.0414912
00:00:00:004			outrecovered			0.0419062
00:00:00:004			outrecovered			0.0423252
00:00:00:004			outrecovered			0.0427485
00:00:00:004			outrecovered			0.043176
00:00:00:004			outrecovered			0.0436077
00:00:00:004			outrecovered			0.0440438
00:00:00:004			outrecovered			0.0444842
00:00:00:004			outrecovered			0.0449291
00:00:00:004			outrecovered			0.0453784
00:00:00:004			outrecovered			0.0458321
00:00:00:004			outrecovered			0.0462905
00:00:00:004			outrecovered			0.0467534
00:00:00:004   		outrecovered			0.0472209
00:00:00:004			outrecovered			0.0476931
00:00:00:004			outrecovered			0.04817
00:00:00:004			outrecovered			0.0486517
00:00:00:004			outrecovered			0.0491383
00:00:00:004			outrecovered			0.0496296
00:00:00:0051			outrecovered			0.0501259
00:00:00:0051			outrecovered			0.0506272
00:00:00:005			outrecovered			0.0511335
00:00:00:005			outrecovered			0.0516448
00:00:00:005			outrecovered			0.0521613
00:00:00:005			outrecovered			0.0526829
00:00:00:005   		outrecovered			0.0532097
00:00:00:005			outrecovered			0.0537418
00:00:00:005			outrecovered			0.0542792
00:00:00:005   		outrecovered			0.054822
00:00:00:005			outrecovered			0.0553702
00:00:00:005			outrecovered			0.0559239
00:00:00:005			outrecovered			0.0564832
00:00:00:005   		outrecovered			0.057048
00:00:00:005			outrecovered			0.0576185
00:00:00:005			outrecovered			0.0581947
00:00:00:005			outrecovered			0.0587766
00:00:00:005			outinfectious			4.95
00:00:00:005			outrecovered			0.0593644
00:00:00:005			outrecovered			0.059958
00:00:00:0064			outrecovered			0.0605576
00:00:00:006			outrecovered			0.0611632
00:00:00:006			outrecovered			0.0617748
00:00:00:006			outrecovered			0.0623926
00:00:00:006			outrecovered			0.0630165
00:00:00:006			outrecovered			0.0636466
00:00:00:006			outrecovered			0.0642831
00:00:00:006			outrecovered			0.0649259
00:00:00:006   		outrecovered			0.0655752
00:00:00:006			outrecovered			0.066231
00:00:00:006			outrecovered			0.0668933
00:00:00:006			outrecovered			0.0675622
00:00:00:006			outrecovered			0.0682378
00:00:00:006			outrecovered			0.0689202
00:00:00:006			outrecovered			0.0696094
00:00:00:0071			outrecovered			0.0703055
00:00:00:007			outrecovered			0.0710085
00:00:00:007			outrecovered			0.0717186
00:00:00:007			outrecovered			0.0724358
00:00:00:007			outrecovered			0.0731602
00:00:00:007			outrecovered			0.0738918
00:00:00:007			outrecovered			0.0746307
00:00:00:007			outrecovered			0.075377
00:00:00:007			outrecovered			0.0761308
00:00:00:007			outrecovered			0.0768921
00:00:00:007			outrecovered			0.077661
00:00:00:007			outrecovered			0.0784376
00:00:00:007			outrecovered			0.079222
00:00:00:0085			outrecovered			0.0800142
00:00:00:008			outrecovered			0.0808143
00:00:00:008			outrecovered			0.0816225
00:00:00:008			outrecovered			0.0824387
00:00:00:008			outrecovered			0.0832631
00:00:00:008			outrecovered			0.0840957
00:00:00:008			outrecovered			0.0849367
00:00:00:008			outrecovered			0.0857861
00:00:00:008			outrecovered			0.0866439
00:00:00:008			outrecovered			0.0875104
00:00:00:008			outrecovered			0.0883855
00:00:00:008			outrecovered			0.0892693
00:00:00:0093			outrecovered			0.090162
00:00:00:009			outrecovered			0.0910636
00:00:00:009			outrecovered			0.0919743
00:00:00:009			outrecovered			0.092894
00:00:00:009			outrecovered			0.093823
00:00:00:009			outrecovered			0.0947612
00:00:00:009			outrecovered			0.0957088
00:00:00:009			outrecovered			0.0966659
00:00:00:009			outrecovered			0.0976325
00:00:00:009			outrecovered			0.0986089
00:00:00:010625			outrecovered			0.099595
00:00:00:010   		outrecovered			0.100591
00:00:00:010			outrecovered			0.101597
00:00:00:010   		outrecovered			0.102613
00:00:00:010			outrecovered			0.103639
00:00:00:010			outrecovered			0.104675
00:00:00:010			outrecovered			0.105722
00:00:00:010			outrecovered			0.106779
00:00:00:010			outrecovered			0.107847
00:00:00:010			outrecovered			0.108926
00:00:00:0113			outrecovered			0.110015
00:00:00:011			outrecovered			0.111115
00:00:00:011			outrecovered			0.112226
00:00:00:011   		outrecovered			0.113348
00:00:00:011			outrecovered			0.114482
00:00:00:011			outrecovered			0.115627
00:00:00:011			outrecovered			0.116783
00:00:00:011			outinfectious			4.9005
00:00:00:011			outrecovered			0.117951
00:00:00:011			outrecovered			0.11913
00:00:00:0127			outrecovered			0.120322
00:00:00:012			outrecovered			0.121525
00:00:00:012   		outrecovered			0.12274
00:00:00:012			outrecovered			0.123967
00:00:00:012			outrecovered			0.125207
00:00:00:012			outrecovered			0.126459
00:00:00:012			outrecovered			0.127724
00:00:00:012   		outrecovered			0.129001
00:00:00:013			outrecovered			0.130291
00:00:00:013			outrecovered			0.131594
00:00:00:013			outrecovered			0.13291
00:00:00:013			outrecovered			0.134239
00:00:00:013			outrecovered			0.135581
00:00:00:013   		outrecovered			0.136937
00:00:00:013			outrecovered			0.138307
00:00:00:0142			outrecovered			0.13969
00:00:00:014			outrecovered			0.141086
00:00:00:014			outrecovered			0.142497
00:00:00:014   		outrecovered			0.143922
00:00:00:014			outrecovered			0.145362
00:00:00:014			outrecovered			0.146815
00:00:00:014			outrecovered			0.148283
00:00:00:015			outrecovered			0.149766
00:00:00:015			outrecovered			0.151264
00:00:00:015   		outrecovered			0.152776
00:00:00:015			outrecovered			0.154304
00:00:00:015			outrecovered			0.155847
00:00:00:015			outrecovered			0.157406
00:00:00:0165			outrecovered			0.15898
00:00:00:016			outrecovered			0.16057
00:00:00:016			outrecovered			0.162175
00:00:00:016			outrecovered			0.163797
00:00:00:016			outrecovered			0.165435
00:00:00:016			outrecovered			0.167089
00:00:00:0178			outrecovered			0.16876
00:00:00:017   		outrecovered			0.170448
00:00:00:017			outrecovered			0.172152
00:00:00:017			outrecovered			0.173874
00:00:00:017			outinfectious			4.8515
00:00:00:017			outrecovered			0.175613
00:00:00:017			outrecovered			0.177369
00:00:00:018			outrecovered			0.179142
00:00:00:018			outrecovered			0.180934
00:00:00:018			outrecovered			0.182743
00:00:00:018   		outrecovered			0.184571
00:00:00:018   		outrecovered			0.186416
00:00:00:0196			outrecovered			0.18828
00:00:00:019			outrecovered			0.190163
00:00:00:019			outrecovered			0.192065
00:00:00:019			outrecovered			0.193986
00:00:00:019			outrecovered			0.195925
00:00:00:0208			outrecovered			0.197885
00:00:00:020			outrecovered			0.199864
00:00:00:020			outrecovered			0.201862
00:00:00:020			outrecovered			0.203881
00:00:00:020			outrecovered			0.20592
00:00:00:0217			outrecovered			0.207979
00:00:00:021			outrecovered			0.210059
00:00:00:021			outrecovered			0.212159
00:00:00:021			outrecovered			0.214281
00:00:00:021			outrecovered			0.216424
00:00:00:022			outrecovered			0.218588
00:00:00:022			outrecovered			0.220774
00:00:00:022			outrecovered			0.222981
00:00:00:022			outrecovered			0.225211
00:00:00:0239			outrecovered			0.227463
00:00:00:023			outrecovered			0.229738
00:00:00:023			outinfectious			4.80298
00:00:00:023   		outrecovered			0.232035
00:00:00:023			outrecovered			0.234356
00:00:00:024			outrecovered			0.236699
00:00:00:024			outrecovered			0.239066
00:00:00:024			outrecovered			0.241457
00:00:00:024			outrecovered			0.243871
00:00:00:0252			outrecovered			0.24631
00:00:00:025			outrecovered			0.248773
00:00:00:025			outrecovered			0.251261
00:00:00:025			outrecovered			0.253774
00:00:00:0265			outrecovered			0.256311
00:00:00:026   		outrecovered			0.258874
00:00:00:026			outrecovered			0.261463
00:00:00:026			outrecovered			0.264078
00:00:00:027			outrecovered			0.266719
00:00:00:027			outrecovered			0.269386
00:00:00:027			outrecovered			0.27208
00:00:00:02848			outrecovered			0.2748
00:00:00:028			outrecovered			0.277548
00:00:00:028			outrecovered			0.280324
00:00:00:028			outrecovered			0.283127
00:00:00:029			outrecovered			0.285958
00:00:00:029			outinfectious			4.75495
00:00:00:029			outrecovered			0.288818
00:00:00:029			outrecovered			0.291706
00:00:00:0309			outrecovered			0.294623
00:00:00:030			outrecovered			0.29757
00:00:00:030			outrecovered			0.300545
00:00:00:0319			outrecovered			0.303551
00:00:00:031			outrecovered			0.306586
00:00:00:031			outrecovered			0.309652
00:00:00:031			outrecovered			0.312749
00:00:00:032			outrecovered			0.315876
00:00:00:032			outrecovered			0.319035
00:00:00:032			outrecovered			0.322225
00:00:00:033			outrecovered			0.325447
00:00:00:033			outrecovered			0.328702
00:00:00:03412			outrecovered			0.331989
00:00:00:034			outrecovered			0.335309
00:00:00:034			outrecovered			0.338662
00:00:00:0355			outrecovered			0.342048
00:00:00:035			outinfectious			4.7074
00:00:00:035			outrecovered			0.345469
00:00:00:035   		outrecovered			0.348924
00:00:00:036			outrecovered			0.352413
00:00:00:036   		outrecovered			0.355937
00:00:00:036			outrecovered			0.359496
00:00:00:037			outrecovered			0.363091
00:00:00:037			outrecovered			0.366722
00:00:00:0389			outrecovered			0.37039
00:00:00:038			outrecovered			0.374093
00:00:00:038			outrecovered			0.377834
00:00:00:039			outrecovered			0.381613
00:00:00:039   		outrecovered			0.385429
00:00:00:0401			outrecovered			0.389283
00:00:00:040			outrecovered			0.393176
00:00:00:040			outrecovered			0.397108
00:00:00:041   		outinfectious			4.66033
00:00:00:041			outrecovered			0.401079
00:00:00:041			outrecovered			0.40509
00:00:00:042			outrecovered			0.40914
00:00:00:042			outrecovered			0.413232
00:00:00:043   		outrecovered			0.417364
00:00:00:043			outrecovered			0.421538
00:00:00:043			outrecovered			0.425753
00:00:00:044			outrecovered			0.430011
00:00:00:044			outrecovered			0.434311
00:00:00:045   		outrecovered			0.438654
00:00:00:045			outrecovered			0.44304
00:00:00:046			outrecovered			0.447471
00:00:00:046			outrecovered			0.451946
00:00:00:0476			outinfectious			4.61372
00:00:00:047   		outrecovered			0.456465
00:00:00:047			outrecovered			0.46103
00:00:00:048			outrecovered			0.46564
00:00:00:048			outrecovered			0.470296
00:00:00:049			outrecovered			0.474999
00:00:00:049			outrecovered			0.479749
00:00:00:050   		outrecovered			0.484547
00:00:00:050			outrecovered			0.489392
00:00:00:051			outrecovered			0.494286
00:00:00:051   		outrecovered			0.499229
00:00:00:052			outrecovered			0.504221
00:00:00:052			outinfectious			4.56759
00:00:00:053031			outrecovered			0.509264
00:00:00:053			outrecovered			0.514356
00:00:00:054			outrecovered			0.5195
00:00:00:054			outrecovered			0.524695
00:00:00:055			outrecovered			0.529942
00:00:00:055			outrecovered			0.535241
00:00:00:056			outrecovered			0.540594
00:00:00:0571			outrecovered			0.546
00:00:00:057			outrecovered			0.55146
00:00:00:058			outrecovered			0.556974
00:00:00:058			outinfectious			4.52191
00:00:00:058			outrecovered			0.562544
00:00:00:059			outrecovered			0.568169
00:00:00:0604			outrecovered			0.573851
00:00:00:060			outrecovered			0.579589
00:00:00:061   		outrecovered			0.585385
00:00:00:06261			outrecovered			0.591239
00:00:00:062			outrecovered			0.597152
00:00:00:063			outrecovered			0.603123
00:00:00:063			outrecovered			0.609154
00:00:00:064			outrecovered			0.615246
00:00:00:064			outinfectious			4.47669
00:00:00:065			outrecovered			0.621398
00:00:00:0663			outrecovered			0.627612
00:00:00:066			outrecovered			0.633888
00:00:00:067			outrecovered			0.640227
00:00:00:068			outrecovered			0.64663
00:00:00:068			outrecovered			0.653096
00:00:00:069			outrecovered			0.659627
00:00:00:070			outrecovered			0.666223
00:00:00:070			outinfectious			4.43192
00:00:00:071   		outrecovered			0.672885
00:00:00:071			outrecovered			0.679614
00:00:00:072   		outrecovered			0.68641
00:00:00:073			outrecovered			0.693274
00:00:00:074			outrecovered			0.700207
00:00:00:074			outrecovered			0.707209
00:00:00:075			outrecovered			0.714281
00:00:00:076			outinfectious			4.38761
00:00:00:076			outrecovered			0.721424
00:00:00:077			outrecovered			0.728638
00:00:00:078			outrecovered			0.735925
00:00:00:0796			outrecovered			0.743284
00:00:00:079			outrecovered			0.750717
00:00:00:080			outrecovered			0.758224
00:00:00:081			outrecovered			0.765806
00:00:00:082   		outinfectious			4.34373
00:00:00:082			outrecovered			0.773464
00:00:00:083			outrecovered			0.781199
00:00:00:084   		outrecovered			0.789011
00:00:00:085			outrecovered			0.796901
00:00:00:086			outrecovered			0.80487
00:00:00:0871			outrecovered			0.812919
00:00:00:087			outrecovered			0.821048
00:00:00:088			outinfectious			4.30029
00:00:00:088			outrecovered			0.829259
00:00:00:089			outrecovered			0.837551
00:00:00:090			outrecovered			0.845927
00:00:00:091			outrecovered			0.854386
00:00:00:092			outrecovered			0.86293
00:00:00:093			outrecovered			0.871559
00:00:00:094			outinfectious			4.25729
00:00:00:094			outrecovered			0.880275
00:00:00:095			outrecovered			0.889077
00:00:00:096			outrecovered			0.897968
00:00:00:0986			outrecovered			0.906948
00:00:00:0992			outrecovered			0.916017
00:00:00:099			outinfectious			4.21472
00:00:00:100			outrecovered			0.925178
00:00:00:101			outrecovered			0.934429
00:00:00:102			outrecovered			0.943774
00:00:00:103			outrecovered			0.953211
00:00:00:104			outrecovered			0.962743
00:00:00:105			outrecovered			0.972371
00:00:00:105			outinfectious			4.17257
00:00:00:106			outrecovered			0.982095
00:00:00:1087			outrecovered			0.991916
00:00:00:109			outrecovered			1.00183
00:00:00:110   		outrecovered			1.01185
00:00:00:111			outrecovered			1.02197
00:00:00:111			outinfectious			4.13084
00:00:00:112			outrecovered			1.03219
00:00:00:114			outrecovered			1.04251
00:00:00:115			outrecovered			1.05294
00:00:00:116			outrecovered			1.06347
00:00:00:117			outinfectious			4.08953
00:00:00:11898			outrecovered			1.0741
00:00:00:119   		outrecovered			1.08484
00:00:00:120			outrecovered			1.09569
00:00:00:121			outrecovered			1.10665
00:00:00:123			outrecovered			1.11772
00:00:00:123			outinfectious			4.04864
00:00:00:124			outrecovered			1.12889
00:00:00:126			outrecovered			1.14018
00:00:00:127			outrecovered			1.15158
00:00:00:128			outrecovered			1.1631
00:00:00:129			outinfectious			4.00815
00:00:00:130			outrecovered			1.17473
00:00:00:131			outrecovered			1.18648
00:00:00:133			outrecovered			1.19834
00:00:00:134			outrecovered			1.21033
00:00:00:135			outinfectious			3.96807
00:00:00:136			outrecovered			1.22243
00:00:00:137			outrecovered			1.23465
00:00:00:139			outrecovered			1.247
00:00:00:141			outrecovered			1.25947
00:00:00:141			outinfectious			3.92839
00:00:00:142			outrecovered			1.27206
00:00:00:144			outrecovered			1.28478
00:00:00:145			outrecovered			1.29763
00:00:00:1477			outinfectious			3.88911
00:00:00:147			outrecovered			1.31061
00:00:00:149			outrecovered			1.32372
00:00:00:150   		outrecovered			1.33695
00:00:00:152			outrecovered			1.35032
00:00:00:152			outinfectious			3.85022
00:00:00:154			outrecovered			1.36382
00:00:00:156			outrecovered			1.37746
00:00:00:157			outrecovered			1.39124
00:00:00:158			outinfectious			3.81171
00:00:00:159			outrecovered			1.40515
00:00:00:161			outrecovered			1.4192
00:00:00:163			outrecovered			1.43339
00:00:00:164			outinfectious			3.7736
00:00:00:165			outrecovered			1.44773
00:00:00:167   		outrecovered			1.4622
00:00:00:169			outrecovered			1.47683
00:00:00:170			outinfectious			3.73586
00:00:00:171			outrecovered			1.4916
00:00:00:173			outrecovered			1.50651
00:00:00:175			outrecovered			1.52158
00:00:00:176			outinfectious			3.6985
00:00:00:177			outrecovered			1.53679
00:00:00:179			outrecovered			1.55216
00:00:00:181			outrecovered			1.56768
00:00:00:182			outinfectious			3.66152
00:00:00:183			outrecovered			1.58336
00:00:00:185			outrecovered			1.59919
00:00:00:187   		outrecovered			1.61518
00:00:00:188			outinfectious			3.6249
00:00:00:190			outrecovered			1.63134
00:00:00:192			outrecovered			1.64765
00:00:00:194			outinfectious			3.58865
00:00:00:194			outrecovered			1.66413
00:00:00:196			outrecovered			1.68077
00:00:00:199			outrecovered			1.69757
00:00:00:199			outinfectious			3.55277
00:00:00:201			outrecovered			1.71455
00:00:00:2041			outrecovered			1.7317
00:00:00:205			outinfectious			3.51724
00:00:00:206			outrecovered			1.74901
00:00:00:2094			outrecovered			1.7665
00:00:00:211			outrecovered			1.78417
00:00:00:211			outinfectious			3.48207
00:00:00:2143			outrecovered			1.80201
00:00:00:216			outrecovered			1.82003
00:00:00:217			outinfectious			3.44725
00:00:00:219			outrecovered			1.83823
00:00:00:221			outrecovered			1.85661
00:00:00:223			outinfectious			3.41277
00:00:00:224			outrecovered			1.87518
00:00:00:227			outrecovered			1.89393
00:00:00:229   		outinfectious			3.37865
00:00:00:230			outrecovered			1.91287
00:00:00:2338			outrecovered			1.932
00:00:00:235			outinfectious			3.34486
00:00:00:235			outrecovered			1.95132
00:00:00:238			outrecovered			1.97083
00:00:00:241			outinfectious			3.31141
00:00:00:241			outrecovered			1.99054
00:00:00:244			outrecovered			2.01045
00:00:00:2478			outinfectious			3.2783
00:00:00:247			outrecovered			2.03055
00:00:00:250			outrecovered			2.05086
00:00:00:252			outinfectious			3.24551
00:00:00:2548			outrecovered			2.07136
00:00:00:257   		outrecovered			2.09208
00:00:00:258			outinfectious			3.21306
00:00:00:260			outrecovered			2.113
00:00:00:263			outrecovered			2.13413
00:00:00:264			outinfectious			3.18093
00:00:00:267			outrecovered			2.15547
00:00:00:270			outrecovered			2.17702
00:00:00:270   		outinfectious			3.14912
00:00:00:273			outrecovered			2.19879
00:00:00:276			outinfectious			3.11763
00:00:00:277			outrecovered			2.22078
00:00:00:2816			outrecovered			2.24299
00:00:00:282			outinfectious			3.08645
00:00:00:284			outrecovered			2.26542
00:00:00:288			outinfectious			3.05559
00:00:00:288			outrecovered			2.28807
00:00:00:2928			outrecovered			2.31095
00:00:00:294			outinfectious			3.02503
00:00:00:295			outrecovered			2.33406
00:00:00:299   		outrecovered			2.3574
00:00:00:299			outinfectious			2.99478
00:00:00:303			outrecovered			2.38098
00:00:00:305			outinfectious			2.96483
00:00:00:307			outrecovered			2.40479
00:00:00:311			outrecovered			2.42884
00:00:00:311   		outinfectious			2.93518
00:00:00:315			outrecovered			2.45313
00:00:00:317			outinfectious			2.90583
00:00:00:3205			outrecovered			2.47766
00:00:00:323			outinfectious			2.87677
00:00:00:324			outrecovered			2.50243
00:00:00:328   		outrecovered			2.52746
00:00:00:329			outinfectious			2.84801
